qty_min,qty_max,colors,side_price,active
24,49,1,4.5,Y
50,99,1,3.5,Y
100,249,1,2.9,Y
250,499,1,2.1,Y
500,99999,1,1.7,Y
24,49,2,6.2,Y
50,99,2,4.8,Y
100,249,2,3.75,Y
250,499,2,2.8,Y
500,99999,2,2.1,Y
24,49,3,7.8,Y
50,99,3,6.2,Y
100,249,3,4.6,Y
250,499,3,3.45,Y
500,99999,3,2.5,Y
24,49,4,9.5,Y
50,99,4,7.6,Y
100,249,4,5.4,Y
250,499,4,4.15,Y
500,99999,4,2.9,Y
24,49,5,11.5,Y
50,99,5,9,Y
100,249,5,6.2,Y
250,499,5,4.8,Y
500,99999,5,3.3,Y
24,49,6,13.8,Y
50,99,6,10.3,Y
100,249,6,7.1,Y
250,499,6,5.5,Y
500,99999,6,3.7,Y
